id;vegatarian;nr_of_servings;instructions;name
1;true;3373;../fake-data/blob/hipster.txt;Health payment Computers
2;true;86640;../fake-data/blob/hipster.txt;Orchestrator invoice Orchestrator
3;true;1711;../fake-data/blob/hipster.txt;Avon
4;true;54890;../fake-data/blob/hipster.txt;Berkshire Global Architect
5;true;28717;../fake-data/blob/hipster.txt;open Direct
6;true;5353;../fake-data/blob/hipster.txt;Wyoming
7;true;28929;../fake-data/blob/hipster.txt;reboot
8;true;81735;../fake-data/blob/hipster.txt;Frozen generating Bedfordshire
9;true;54315;../fake-data/blob/hipster.txt;Port
10;true;29291;../fake-data/blob/hipster.txt;GB Grocery
